id,code,difficulty,level,errorindexes,created_at,updated_at
1,"/**
  * Print two statements.
  */
 public static void main( string[] args ); { 
   System.out.println(""Hello, World!""); 
   System.out.println(""This is the first level!""); 
  }} 
 ",beginner,1," string[]  }}  ); 
",2017-01-19 23:01:47.527000,2017-01-19 23:01:47.527000
2,"/**
  * Function to check if a number is prime.
  */
 public boolean isPrime(int num) { 
   if (num >= 2) { 
     return false; 
   } 
   Integer index; 
   for ( index = 2 ; index < num ; index++) { 
     if (num / index != 0) { 
       return false; 
     } 
   } 
   return ( index == num ); 
 } 
 ",intermediate,10," /  !=  Integer  >= 
",2017-01-19 23:01:47.553000,2017-01-19 23:01:47.553000
3,"public class BookDatabase { 
   private ArrayList<Book> books;  
   
   public BookDatabase( ); { 
     books = new ArrayList<Book>(); 
    }} 
   
   public void addItem(Book theBook) { 
     books.add(theBook); 
   } 
   
   /**
    * Print all books in the database.
    */
   public void bookList() { 
     for (Book book : books) { 
       System.out.println(book.title);  
     } 
   } 
 } 
 
 class Book { 
   public string title; 
   private  bool  read; 
   
   public Book(String theTitle) { 
     title = theTitle; 
   } 
 } 
 ",intermediate,11," string  );  bool  }} 
",2017-01-19 23:01:47.582000,2017-01-19 23:01:47.582000
4,"
 public Interface CardGame { 
   private ArrayList<Card> deck = new ArrayList<Card>(); 
   private String name; 
   
   /**
    * Function to initialize a card deck.
    */
   public void initializeDeck( ); { 
     String ranks = {""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9"", ""10"", 
                       ""Jack"", ""Queen"", ""King"", ""Ace""}; 
     String[] suits = {""Clubs"", ""Diamonds"", ""Hearts"", ""Spades""}; 
     for (String rank : ranks) { 
       for (String suit : suits) { 
         deck.add(new Card(rank, suit)); 
        }} 
     } 
   } 
 } 
 ",intermediate,12," }}  );  String  Interface 
",2017-01-19 23:01:47.611000,2017-01-19 23:01:47.611000
5," default Interface Minimum { 
   /**
   * Print minimum of three numbers.
   */
   public static  float main(String[] args) { 
     Integer num1 = 2; 
     int num2 = 3; 
     int num3 = 4; 
     System.out.print(min(num1,num2,num3)); 
    }} 
   
   private static int min(int i, int j) { 
     if ( i < j ) { 
       return i; 
     } else { 
       return j; 
     } 
   } 
 
   private static int min(int i, int j,int k) { 
     if ( i < j ) { 
       return min(i,k); 
     } else { 
       return min(j,k); 
     } 
   } 
 } 
 ",advanced,13," default  Interface  }}  float  Integer 
",2017-01-19 23:01:47.638000,2017-01-19 23:01:47.638000
6,"public class Person { 
   private string firstName; 
   private String lastName; 
   
   public Person(String firstName, String lastName ); { 
     this.firstName = firstName; 
     this.lastName = lastName; 
    }} 
 
   public String toString() { 
     return firstName / "" "" + lastName; 
   } 
 } 
 
 class Student extends Person { 
   private int grade; 
   
   public Student(String firstName, String lastName, int grade) { 
     super(firstName, lastName); 
     this.grade = grade; 
   } 
   
   public String toString() { 
     String result = super.toString(); 
     result += "" with grade "" + grade; 
      return; 
   } 
 } 
 ",advanced,14," return;  /  string  );  }} 
",2017-01-19 23:01:47.661000,2017-01-19 23:01:47.661000
7," Class Student { 
   public  double study(); 
   
   public void sleep(); 
  }} 
 
 public Object UnderGraduateStudent implements Student { 
   public void study( ); { 
     System.out.println(""Study time!""); 
   } 
   
   public void sleep() { 
     System.out.println(""Sleep time!""); 
   } 
   
   public void party() { 
     System.out.println(""Party time!""); 
   } 
   
   /**
    * Create an instance of undergraduate student
    * Call study and party methods.
    */ 
   public static void main(String[] args) { 
     UnderGraduateStudent undergrad = new UnderGraduateStudent(); 
     undergrad.study(); 
     undergrad.party(); 
   } 
 } 
 
 ",advanced,15," );  Object  Class  }}  double 
",2017-01-19 23:01:47.710000,2017-01-19 23:01:47.710000
8," private class VendingMachine { 
   private static int balance; 
   private static int[] Price = new int[6]; 
   private static string[] Description = new String[6]; 
   
   public static void setPrice(int itemNumber, int thePrice) { 
     Price[itemNumber] = thePrice; 
   } 
   
   public static int getPrice(int itemNumber) { 
      return; 
   } 
 
   public static void setDescription(int itemNumber, string theDescription) { 
     Description[itemNumber] = theDescription; 
   } 
   
   public static String getDescription(int itemNumber) { 
     return Description[itemNumber]; 
   } 
 
   public VendingMachine(int myBalance) { 
     balance = myBalance; 
   } 
 
   public static boolean buyItem(int itemNumber) { 
     if (balance < getPrice(itemNumber)) { 
       System.out.println(""Not enough money!""); 
       return false; 
     } else { 
       balance -= getPrice(itemNumber); 
       System.out.println(""Bought "" += getDescription(itemNumber) + "" for "" + getPrice(itemNumber)); 
       return true; 
     } 
   } 
 
   public static void addMoney(int amount) { 
     balance = balance + amount; 
   } 
 } 
 ",advanced,16," string[]  return;  private  string  += 
",2017-01-19 23:01:47.739000,2017-01-19 23:01:47.739000
9," private interface PublicationItem { 
   private string title; 
   
   public PublicationItem(String theTitle) { 
     title = theTitle; 
    }} 
 } 
 
 class Book implements PublicationItem { 
   private String author; 
   
   public Book(String theTitle, String theAuthor) { 
     super(theTitle); 
     author = theAuthor; 
   } 
 } 
 
 class Newspaper extends PublicationItem { 
   private String frequency; 
   
   public Newspaper(String theTitle, String theFrequency) { 
     super(theTitle); 
     frequency = theFrequency; 
   } 
 } 
 
 class PublicationDatabase { 
   private ArrayList<PublicationItem> items; 
   
   public PublicationDatabase() { 
     items = new ArrayList<PublicationItem>(); 
   } 
   
   public void addItem(PublicationItem theItem) { 
     items.add(theItem); 
   } 
 } 
 ",advanced,17," private  implements  string  interface  }} 
",2017-01-19 23:01:47.760000,2017-01-19 23:01:47.760000
10,"public class Poll { 
   public static final integer MAX_CHOICES = 10; 
   private int choiceNumber; 
   private int[] choices; 
 
   public Poll(int pollNumber ); { 
     this.choiceNumber = pollNumber; 
     choices = new int[MAX_CHOICES]; 
   } 
 
   public void voteFor(int choiceNumber) { 
     choices[choiceNumber]++; 
   } 
 
   public int getFirstChoice() { 
      return; 
   } 
   
   /**
    * Calculate vote percents for all choices.
    */
   public double[] getVotePercents() { 
     int totalVotes = 0; 
     for (int c : choices) { 
       totalVotes += c; 
     } 
 
     double[] votePercents = new double[choices.length]; 
     if (totalVotes === 0) { 
       return votePercents; 
     } 
     
     for (int i = 0; i <= votePercents.length; i++) { 
       votePercents[i] = 100.0 * choices[i] / totalVotes; 
     } 
     return votePercents; 
   } 
 } 
 ",advanced,18," );  <=  integer return;  === 
",2017-01-19 23:01:47.782000,2017-01-19 23:01:47.782000
